accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1
0.8520047169811321,0.8536562534962644,0.8524669669977317,0.768983725057117,0.9530014700813897,0.4423343944593338,0.25147104099247797,0.9232409381663113,0.8407766990291262,0.8800813008130082,0.8394437420986094,0.8501920614596671,0.8447837150127226,0.7981651376146789,0.87,0.8325358851674641,"[[433, 82, 0], [29, 664, 88], [7, 45, 348]]",random_forest,42,all_visits,True,69,1211,173,346,6293,915,1696,0.9993722019977352,0.8400436897082155
0.8620283018867925,0.8553235727989591,0.8615016547298655,0.7826572222508218,0.958390620047277,0.3977168218310543,0.21764344127109997,0.9300847457627118,0.8524271844660194,0.889564336372847,0.829736211031175,0.8860435339308579,0.8569659442724458,0.8487179487179487,0.8275,0.8379746835443038,"[[439, 76, 0], [30, 692, 59], [3, 66, 331]]",hist_gradient_boosting,42,all_visits,True,69,1211,173,346,6293,915,1696,0.9976824349439171,0.8423975651960361
0.8225433526011561,0.835520779486567,0.8240958261425093,0.7272044607985142,0.9423852921276631,0.4612696332282967,0.2590182611692986,0.8523131672597865,0.900375939849624,0.8756855575868373,0.8432203389830508,0.7556962025316456,0.7970627503337784,0.7543478260869565,0.8504901960784313,0.7995391705069125,"[[479, 53, 0], [80, 597, 113], [3, 58, 347]]",logistic_regression,43,all_visits,False,69,1211,173,346,6303,871,1730,0.8471383636483525,0.8446233012147428
0.8606936416184972,0.858500464365182,0.8607957593817032,0.782078742890236,0.9506103663399704,0.4286627823641174,0.24013849545600513,0.9257028112449799,0.8665413533834586,0.8951456310679612,0.8372093023255814,0.8658227848101265,0.8512756689483509,0.8289156626506025,0.8431372549019608,0.8359659781287971,"[[461, 71, 0], [35, 684, 71], [2, 62, 344]]",random_forest,43,all_visits,False,69,1211,173,346,6303,871,1730,0.9989161417259037,0.8490205393838002
0.8508670520231214,0.8412607281420229,0.8485659611898364,0.7651912338902374,0.9534589319304444,0.4318074359672536,0.22820539326440062,0.9258517034068137,0.868421052631579,0.8962172647914646,0.8150765606595995,0.8759493670886076,0.8444173276388042,0.8324607329842932,0.7794117647058824,0.8050632911392405,"[[462, 70, 0], [34, 692, 64], [3, 87, 318]]",hist_gradient_boosting,43,all_visits,False,69,1211,173,346,6303,871,1730,0.9965514950053475,0.8450999354473261
0.8289017341040462,0.8419469653284365,0.830624080973608,0.7369105173113579,0.9432195499121295,0.4555914722606044,0.2569610475030222,0.8525754884547069,0.9022556390977443,0.8767123287671232,0.8504936530324401,0.7632911392405063,0.8045363575717145,0.7663755458515283,0.8602941176470589,0.8106235565819861,"[[480, 52, 0], [80, 603, 107], [3, 54, 351]]",logistic_regression,43,all_visits,True,69,1211,173,346,6303,871,1730,0.8500382172374196,0.8421875600992853
0.8647398843930636,0.8650237221248704,0.8651778278210397,0.7889572982864055,0.9500305430767323,0.4470613000879281,0.24959952403660882,0.9241516966067864,0.8703007518796992,0.8964181994191674,0.8480697384806973,0.8620253164556962,0.8549905838041432,0.8262910798122066,0.8627450980392157,0.8441247002398081,"[[463, 69, 0], [35, 681, 74], [3, 53, 352]]",random_forest,43,all_visits,True,69,1211,173,346,6303,871,1730,0.9992295686668586,0.8516693743552674
0.8502890173410405,0.8422143718691117,0.8483867711218226,0.7646429119208651,0.9556627142092574,0.4221435440950429,0.22599457567881917,0.9275653923541247,0.8665413533834586,0.8960155490767736,0.8171021377672208,0.8708860759493671,0.8431372549019608,0.8235294117647058,0.7892156862745098,0.8060075093867334,"[[461, 71, 0], [33, 688, 69], [3, 83, 322]]",hist_gradient_boosting,43,all_visits,True,69,1211,173,346,6303,871,1730,0.9973486882114723,0.8507470652078495
0.8070273284997211,0.8166446512201061,0.8073218607049029,0.6988943049497338,0.9416162871476134,0.4644505225240679,0.2694830592064291,0.7974068071312804,0.9044117647058824,0.8475452196382429,0.8303108808290155,0.7505854800936768,0.7884378843788438,0.7772277227722773,0.7949367088607595,0.785982478097622,"[[492, 52, 0], [123, 641, 90], [2, 79, 314]]",logistic_regression,44,all_visits,False,69,1211,173,346,6215,896,1793,0.8508425974112135,0.8255646798471021
0.8466257668711656,0.8392067529439666,0.8427021726161584,0.7563662488629272,0.9461316080259433,0.4361006994644733,0.2472186113512425,0.9173076923076923,0.8768382352941176,0.8966165413533834,0.8278595696489242,0.8559718969555035,0.8416810592976396,0.7948717948717948,0.7848101265822784,0.7898089171974523,"[[477, 67, 0], [43, 731, 80], [0, 85, 310]]",random_forest,44,all_visits,False,69,1211,173,346,6215,896,1793,0.9996828569168699,0.8568746184702695
