model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
hist_gradient_boosting,43,baseline_only,True,1,0,152,0.0027708752957658,0.0131578947368421
hist_gradient_boosting,43,baseline_only,True,1,2,4,0.240968905952527,0.5
hist_gradient_boosting,43,baseline_only,True,1,3,3,0.3091452068650472,0.6666666666666666
hist_gradient_boosting,43,baseline_only,True,1,4,4,0.4698849726488228,0.0
hist_gradient_boosting,43,baseline_only,True,1,5,2,0.5357928598245505,1.0
hist_gradient_boosting,43,baseline_only,True,1,6,1,0.6838314230774623,0.0
hist_gradient_boosting,43,baseline_only,True,1,7,1,0.7957019574538725,0.0
hist_gradient_boosting,43,baseline_only,True,1,8,2,0.8707089125541255,1.0
hist_gradient_boosting,43,baseline_only,True,1,9,177,0.9975186122600496,0.9209039548022598
hist_gradient_boosting,43,baseline_only,True,2,0,280,0.0007897103264074,0.0321428571428571
hist_gradient_boosting,43,baseline_only,True,2,1,1,0.1369529521469231,0.0
hist_gradient_boosting,43,baseline_only,True,2,2,1,0.2042408575426253,1.0
hist_gradient_boosting,43,baseline_only,True,2,4,2,0.4641626166840142,0.0
hist_gradient_boosting,43,baseline_only,True,2,5,3,0.5318918839209439,1.0
hist_gradient_boosting,43,baseline_only,True,2,6,2,0.68731548233969,0.5
hist_gradient_boosting,43,baseline_only,True,2,7,4,0.7589901872321518,0.5
hist_gradient_boosting,43,baseline_only,True,2,9,53,0.9937756865599472,0.981132075471698
logistic_regression,44,baseline_only,False,0,0,206,0.0076844149300299,0.0
logistic_regression,44,baseline_only,False,0,1,11,0.1588375967072421,0.0
logistic_regression,44,baseline_only,False,0,2,6,0.2546646384800067,0.1666666666666666
logistic_regression,44,baseline_only,False,0,3,2,0.3137290246893522,0.0
logistic_regression,44,baseline_only,False,0,4,8,0.4374127442638694,0.25
logistic_regression,44,baseline_only,False,0,5,6,0.5555675700429278,0.5
logistic_regression,44,baseline_only,False,0,6,4,0.638403461875594,0.5
logistic_regression,44,baseline_only,False,0,7,7,0.7687723285363921,0.8571428571428571
logistic_regression,44,baseline_only,False,0,8,19,0.8579669126735894,0.7894736842105263
logistic_regression,44,baseline_only,False,0,9,77,0.9634456242601912,0.987012987012987
logistic_regression,44,baseline_only,False,1,0,132,0.0292859440977552,0.0227272727272727
logistic_regression,44,baseline_only,False,1,1,24,0.1451594195946893,0.25
logistic_regression,44,baseline_only,False,1,2,10,0.249554426442291,0.2
logistic_regression,44,baseline_only,False,1,3,8,0.3647467095917119,0.625
logistic_regression,44,baseline_only,False,1,4,9,0.4511299886666775,0.5555555555555556
