accuracy,balanced_accuracy,macro_f1,cohen_kappa,roc_auc_ovr,log_loss,brier_score,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1,precision_class_2,recall_class_2,f1_class_2,confusion_matrix,model,seed,task_mode,missing_indicators,n_features,n_train_subjects,n_val_subjects,n_test_subjects,n_train_visits,n_val_visits,n_test_visits,train_macro_f1,val_macro_f1,group,modalities
0.3468208092485549,0.4487988644398029,0.30292792792792794,0.1194739094205346,0.6030367538476255,1.0807062421613787,0.6510841506744819,0.41361256544502617,0.7523809523809524,0.5337837837837838,0.3333333333333333,0.005780346820809248,0.011363636363636364,0.2631578947368421,0.5882352941176471,0.36363636363636365,"[[79, 0, 26], [86, 1, 86], [26, 2, 40]]",logistic_regression,44,baseline_only,True,1,1211,173,346,1211,173,346,0.30640174298155737,0.30464298702873077,genetic_only,genetic
0.9248554913294798,0.9325321265307664,0.9204713682084522,0.880393017164586,0.9836572140247631,0.22630150740012772,0.1270172610835634,0.9363636363636364,0.9809523809523809,0.958139534883721,0.9565217391304348,0.8901734104046243,0.9221556886227545,0.84,0.9264705882352942,0.8811188811188811,"[[103, 2, 0], [7, 154, 12], [0, 5, 63]]",logistic_regression,44,baseline_only,True,16,1211,173,346,1211,173,346,0.9152422459805222,0.9163319946452476,demographic_cognitive,demographic|cognitive
0.9046242774566474,0.9088712941824127,0.9008548680066019,0.8476787620064035,0.9798059602282515,0.25332704317771143,0.14820894473054264,0.8947368421052632,0.9714285714285714,0.9315068493150684,0.9320987654320988,0.8728323699421965,0.9014925373134328,0.8571428571428571,0.8823529411764706,0.8695652173913043,"[[102, 3, 0], [12, 151, 10], [0, 8, 60]]",logistic_regression,44,baseline_only,True,66,1211,173,346,1211,173,346,0.9352259466418885,0.8959583109913248,clinical_mri,demographic|cognitive|mri_structural
0.8988439306358381,0.9003151935147855,0.8928671176301637,0.8383673905209348,0.9795484632270198,0.25293622863545334,0.14772820054446154,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9259259259259259,0.8670520231213873,0.8955223880597015,0.8405797101449275,0.8529411764705882,0.8467153284671532,"[[103, 2, 0], [12, 150, 11], [0, 10, 58]]",logistic_regression,44,baseline_only,True,67,1211,173,346,1211,173,346,0.9352259466418885,0.8959583109913248,clinical_mri_genetic,demographic|cognitive|mri_structural|genetic
0.8930635838150289,0.8981889865772898,0.8883608264903229,0.8296088270134295,0.9765043005348897,0.2698428118995346,0.1559946956857518,0.8869565217391304,0.9714285714285714,0.9272727272727272,0.925,0.8554913294797688,0.8888888888888888,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[102, 3, 0], [13, 148, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,69,1211,173,346,1211,173,346,0.9362156621832844,0.8908356682148968,all_primary_modalities,demographic|cognitive|mri_structural|pet|genetic
0.49421965317919075,0.5377525191194011,0.4989416373514917,0.2384893036358834,0.7071645392245886,1.0015006141436544,0.6059076482334913,0.47692307692307695,0.5904761904761905,0.5276595744680851,0.5752212389380531,0.37572254335260113,0.45454545454545453,0.42718446601941745,0.6470588235294118,0.5146198830409356,"[[62, 35, 8], [57, 65, 51], [11, 13, 44]]",logistic_regression,44,baseline_only,True,59,1211,173,346,1211,173,346,0.5833944573634987,0.5279098260462076,all_without_cognitive,demographic|mri_structural|pet|genetic
0.9161849710982659,0.9208014226885358,0.9113900543366119,0.866273955806701,0.9816848375065134,0.23854204486678146,0.13378372058242835,0.9196428571428571,0.9809523809523809,0.9493087557603687,0.9444444444444444,0.884393063583815,0.9134328358208955,0.8472222222222222,0.8970588235294118,0.8714285714285714,"[[103, 2, 0], [9, 153, 11], [0, 7, 61]]",logistic_regression,44,baseline_only,True,19,1211,173,346,1211,173,346,0.9204518268887661,0.9092927555283694,all_without_mri_structural,demographic|cognitive|pet|genetic
0.8988439306358381,0.9003151935147855,0.8928671176301637,0.8383673905209348,0.9795484632270198,0.25293622863545334,0.14772820054446154,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9259259259259259,0.8670520231213873,0.8955223880597015,0.8405797101449275,0.8529411764705882,0.8467153284671532,"[[103, 2, 0], [12, 150, 11], [0, 10, 58]]",logistic_regression,44,baseline_only,True,67,1211,173,346,1211,173,346,0.9352259466418885,0.8959583109913248,all_without_pet,demographic|cognitive|mri_structural|genetic
0.8930635838150289,0.8969411656762899,0.8883595355674929,0.8292998386602131,0.9766193822238943,0.2689999915038538,0.155834216751113,0.8938053097345132,0.9619047619047619,0.926605504587156,0.9197530864197531,0.861271676300578,0.8895522388059701,0.8309859154929577,0.8676470588235294,0.8489208633093526,"[[101, 4, 0], [12, 149, 12], [0, 9, 59]]",logistic_regression,44,baseline_only,True,68,1211,173,346,1211,173,346,0.9388513366366259,0.8908356682148968,all_without_genetic,demographic|cognitive|mri_structural|pet
0.42485549132947975,0.43910639400268775,0.41699944925927807,0.13411888982507325,0.5927597121876432,1.0746772490366017,0.6501664010694163,0.4015748031496063,0.4857142857142857,0.4396551724137931,0.5701754385964912,0.37572254335260113,0.4529616724738676,0.29523809523809524,0.45588235294117646,0.3583815028901734,"[[51, 25, 29], [63, 65, 45], [13, 24, 31]]",logistic_regression,45,baseline_only,True,6,1211,173,346,1211,173,346,0.4292282821906584,0.3262388316971727,demographic_only,demographic
